question,reference_answer
What are the symptoms of dengue?,High fever headache muscle pain rash nausea
What causes hypertension?,High salt intake obesity genetics stress
What is anemia?,Low red blood cell count causing fatigue weakness pale skin
What are symptoms of diabetes?,Frequent urination thirst fatigue blurred vision
What is asthma?,Chronic inflammation of airways causing breathing difficulty
What causes migraine?,Genetics stress hormonal changes sleep issues
What is pneumonia?,Lung infection causing cough fever breathing difficulty
What is tuberculosis?,Bacterial infection affecting lungs causing cough fever weight loss
What are symptoms of malaria?,Fever chills sweating headache nausea
What causes obesity?,High calorie intake low physical activity genetics
What is hepatitis?,Inflammation of the liver often due to viral infection
What is stroke?,Interruption of blood supply to the brain
What causes kidney stones?,Mineral buildup dehydration diet
What are symptoms of flu?,Fever cough sore throat body aches fatigue
What is osteoporosis?,Weak brittle bones due to low bone density
What causes heart attack?,Blocked coronary arteries due to plaque buildup
What is arthritis?,Inflammation of joints causing pain and stiffness
What are symptoms of COVID-19?,Fever cough fatigue loss of taste breathing difficulty
What is gastritis?,Inflammation of stomach lining causing pain nausea
What causes anemia?,Iron deficiency blood loss chronic disease
What is hypertension?,High blood pressure condition affecting arteries
What are symptoms of appendicitis?,Abdominal pain nausea fever loss of appetite
What causes depression?,Genetics stress chemical imbalance trauma
What is bronchitis?,Inflammation of bronchial tubes causing cough mucus
What are symptoms of dehydration?,Thirst dizziness dry mouth fatigue
What causes allergies?,Immune system reaction to allergens
What is eczema?,Skin inflammation causing itching redness dryness
What causes insomnia?,Stress anxiety caffeine poor sleep habits
What is meningitis?,Inflammation of membranes around brain and spinal cord
What are symptoms of food poisoning?,Nausea vomiting diarrhea stomach cramps
